X,Y,Z
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
